t;h0;g;dt;r;cd;m;Density;rf;F_cw;F_g;F_a;F_res;a;v;h
1.22000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42908;1.22499;0.00197;10.82458;4.20923;28.56552;13.53171;31.53691;74.43423;52.27549;0.00503
1.23000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42895;1.22499;0.00197;10.91689;4.20802;28.43448;13.30958;31.02814;74.74451;53.02294;0.00503
1.24000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42883;1.22499;0.00197;11.00809;4.20681;28.30345;13.08855;30.52166;75.04973;53.77343;0.00503
1.25000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42870;1.22499;0.00197;11.09818;4.20559;28.17241;12.86864;30.01749;75.34991;54.52693;0.00503
1.26000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42858;1.22499;0.00197;11.18713;4.20438;28.04138;12.64986;29.51568;75.64506;55.28338;0.00503
1.27000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42846;1.22499;0.00197;11.27495;4.20317;27.91034;12.43223;29.01623;75.93523;56.04273;0.00503
1.28000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42833;1.22499;0.00197;11.36161;4.20196;27.77931;12.21574;28.51919;76.22042;56.80494;0.00503
1.29000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42821;1.22499;0.00197;11.44711;4.20075;27.64828;12.00042;28.02457;76.50066;57.56995;0.00503
1.30000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42809;1.22499;0.00197;11.53144;4.19953;27.51724;11.78626;27.53240;76.77599;58.33771;0.00503
1.31000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42796;1.22499;0.00197;11.61459;4.19832;27.38621;11.57329;27.04270;77.04641;59.10817;0.00503
1.32000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42784;1.22499;0.00197;11.69656;4.19711;27.25517;11.36151;26.55550;77.31197;59.88129;0.00503
1.33000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42772;1.22499;0.00197;11.77732;4.19590;27.12414;11.15092;26.07081;77.57268;60.65702;0.00503
1.34000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42759;1.22499;0.00197;11.85689;4.19469;26.99310;10.94153;25.58866;77.82856;61.43530;0.00503
1.35000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42747;1.22499;0.00197;11.93524;4.19348;26.86207;10.73336;25.10906;78.07965;62.21610;0.00503
1.36000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42735;1.22499;0.00197;12.01237;4.19226;26.73103;10.52640;24.63203;78.32597;62.99936;0.00503
1.37000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42722;1.22499;0.00197;12.08828;4.19105;26.60000;10.32067;24.15759;78.56755;63.78503;0.00503
1.38000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42710;1.22499;0.00197;12.16296;4.18984;26.46897;10.11616;23.68576;78.80441;64.57308;0.00503
1.39000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42698;1.22499;0.00197;12.23641;4.18863;26.33793;9.91289;23.21655;79.03657;65.36344;0.00503
1.40000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42685;1.22499;0.00197;12.30861;4.18742;26.20690;9.71087;22.74998;79.26407;66.15608;0.00503
1.41000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42673;1.22499;0.00197;12.37957;4.18620;26.07586;9.51009;22.28605;79.48693;66.95095;0.00503
1.42000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42660;1.22499;0.00197;12.44928;4.18499;25.94483;9.31055;21.82477;79.70518;67.74801;0.00503
1.43000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42648;1.22499;0.00197;12.51774;4.18378;25.81379;9.11227;21.36618;79.91884;68.54719;0.00503
1.44000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42636;1.22499;0.00197;12.58494;4.18257;25.68276;8.91525;20.91026;80.12795;69.34847;0.00503
1.45000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42623;1.22499;0.00197;12.65088;4.18136;25.55172;8.71949;20.45703;80.33252;70.15180;0.00503
1.46000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42611;1.22499;0.00197;12.71556;4.18015;25.42069;8.52499;20.00651;80.53258;70.95712;0.00503
1.47000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42599;1.22499;0.00197;12.77897;4.17893;25.28966;8.33175;19.55869;80.72817;71.76441;0.00503
1.48000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42586;1.22499;0.00197;12.84112;4.17772;25.15862;8.13978;19.11359;80.91930;72.57360;0.00503
1.49000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42574;1.22499;0.00197;12.90200;4.17651;25.02759;7.94908;18.67121;81.10602;73.38466;0.00503
1.50000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42562;1.22499;0.00197;12.96160;4.17530;24.89655;7.75965;18.23156;81.28833;74.19754;0.00503
1.51000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42549;1.22499;0.00197;13.01994;4.17409;24.76552;7.57149;17.79463;81.46628;75.01220;0.00503
1.52000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42537;1.22499;0.00197;13.07700;4.17287;24.63448;7.38460;17.36045;81.63988;75.82860;0.00503
1.53000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42525;1.22499;0.00197;13.13280;4.17166;24.50345;7.19899;16.92900;81.80917;76.64670;0.00503
1.54000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42512;1.22499;0.00197;13.18732;4.17045;24.37241;7.01465;16.50030;81.97418;77.46644;0.00503
1.55000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42500;1.22499;0.00197;13.24056;4.16924;24.24138;6.83158;16.07434;82.13492;78.28779;0.00503
1.56000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42488;1.22499;0.00197;13.29254;4.16803;24.11034;6.64978;15.65112;82.29143;79.11070;0.00503
1.57000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42475;1.22499;0.00197;13.34325;4.16682;23.97931;6.46925;15.23065;82.44374;79.93514;0.00503
1.58000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42463;1.22499;0.00197;13.39268;4.16560;23.84828;6.28999;14.81293;82.59187;80.76106;0.00503
1.59000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42450;1.22499;0.00197;13.44085;4.16439;23.71724;6.11200;14.39795;82.73585;81.58842;0.00503
1.60000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42438;1.22499;0.00197;13.48775;4.16318;23.58621;5.93527;13.98571;82.87570;82.41717;0.00503
