t;h0;g;dt;r;cd;m;Density;rf;F_cw;F_g;F_a;F_res;a;v;h
0.94000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44415;1.22500;0.00197;1.98124;4.35708;14.93446;8.59615;19.35431;31.90319;17.72339;0.00503
0.95000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44409;1.22500;0.00197;2.00550;4.35652;14.85843;8.49641;19.13222;32.09451;18.04433;0.00503
0.96000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44403;1.22500;0.00197;2.02963;4.35596;14.78239;8.39681;18.91036;32.28362;18.36717;0.00503
0.97000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44398;1.22500;0.00197;2.05362;4.35540;14.70636;8.29735;18.68877;32.47050;18.69187;0.00503
0.98000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44392;1.22500;0.00197;2.07746;4.35484;14.63032;8.19802;18.46743;32.65518;19.01842;0.00503
0.99000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44386;1.22500;0.00197;2.10116;4.35428;14.55429;8.09885;18.24637;32.83764;19.34680;0.00503
1.00000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44380;1.22500;0.00197;2.12471;4.35372;14.47825;7.99983;18.02560;33.01790;19.67698;0.00503
1.01000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44375;1.22500;0.00197;2.14810;4.35316;14.40221;7.90096;17.80512;33.19595;20.00894;0.00503
1.02000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44369;1.22500;0.00197;2.17133;4.35260;14.32618;7.80226;17.58494;33.37180;20.34266;0.00503
1.03000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44363;1.22500;0.00197;2.19439;4.35204;14.25014;7.70372;17.36508;33.54545;20.67811;0.00503
1.04000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44358;1.22500;0.00197;2.21729;4.35148;14.17411;7.60534;17.14555;33.71691;21.01528;0.00503
1.05000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44352;1.22500;0.00197;2.24001;4.35092;14.09807;7.50714;16.92634;33.88617;21.35414;0.00503
1.06000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44346;1.22500;0.00197;2.26256;4.35036;14.02204;7.40912;16.70748;34.05324;21.69467;0.00503
1.07000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44340;1.22500;0.00197;2.28492;4.34980;13.94600;7.31128;16.48897;34.21813;22.03686;0.00503
1.08000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44335;1.22500;0.00197;2.30710;4.34924;13.90487;7.24853;16.34957;34.38163;22.38067;0.00503
1.09000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44329;1.22500;0.00197;2.32920;4.34868;13.86375;7.18587;16.21031;34.54373;22.72611;0.00503
1.10000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44323;1.22500;0.00197;2.35122;4.34812;13.82262;7.12329;16.07121;34.70444;23.07315;0.00503
1.11000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44318;1.22500;0.00197;2.37315;4.34756;13.78150;7.06080;15.93227;34.86377;23.42179;0.00503
1.12000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44312;1.22500;0.00197;2.39499;4.34700;13.74037;6.99839;15.79349;35.02170;23.77201;0.00503
1.13000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44306;1.22500;0.00197;2.41674;4.34644;13.69925;6.93608;15.65488;35.17825;24.12379;0.00503
1.14000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44300;1.22500;0.00197;2.43839;4.34588;13.65812;6.87386;15.51645;35.33342;24.47713;0.00503
1.15000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44295;1.22500;0.00197;2.45995;4.34532;13.61700;6.81174;15.37820;35.48720;24.83200;0.00503
1.16000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44289;1.22500;0.00197;2.48141;4.34476;13.57587;6.74971;15.24014;35.63960;25.18839;0.00503
1.17000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44283;1.22500;0.00197;2.50277;4.34420;13.53475;6.68779;15.10227;35.79062;25.54630;0.00503
1.18000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44278;1.22500;0.00197;2.52402;4.34364;13.49362;6.62597;14.96459;35.94027;25.90570;0.00503
1.19000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44272;1.22500;0.00197;2.54517;4.34308;13.45250;6.56425;14.82712;36.08854;26.26659;0.00503
1.20000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44266;1.22500;0.00197;2.56622;4.34252;13.41137;6.50264;14.68986;36.23544;26.62894;0.00503
1.21000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44261;1.22500;0.00197;2.58715;4.34196;13.37025;6.44114;14.55280;36.38097;26.99275;0.00503
1.22000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44255;1.22500;0.00197;2.60797;4.34140;13.32912;6.37976;14.41597;36.52513;27.35800;0.00503
1.23000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44249;1.22500;0.00197;2.62868;4.34084;13.28800;6.31848;14.27935;36.66792;27.72468;0.00503
1.24000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44243;1.22500;0.00197;2.64927;4.34028;13.24687;6.25732;14.14296;36.80935;28.09278;0.00503
1.25000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44238;1.22500;0.00197;2.66975;4.33972;13.20575;6.19628;14.00680;36.94942;28.46227;0.00503
1.26000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44232;1.22500;0.00197;2.69011;4.33916;13.16462;6.13536;13.87088;37.08813;28.83315;0.00503
1.27000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44226;1.22500;0.00197;2.71034;4.33860;13.12350;6.07456;13.73519;37.22548;29.20541;0.00503
1.28000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44221;1.22500;0.00197;2.73045;4.33804;13.08237;6.01388;13.59975;37.36147;29.57902;0.00503
1.29000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44215;1.22500;0.00197;2.75044;4.33748;13.04125;5.95333;13.46456;37.49612;29.95398;0.00503
1.30000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44209;1.22500;0.00197;2.77030;4.33692;13.00012;5.89291;13.32962;37.62942;30.33028;0.00503
1.31000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44203;1.22500;0.00197;2.79003;4.33636;12.95900;5.83261;13.19493;37.76137;30.70789;0.00503
1.32000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44198;1.22500;0.00197;2.80963;4.33580;12.91787;5.77245;13.06051;37.89197;31.08681;0.00503
1.33000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44192;1.22500;0.00197;2.82910;4.33524;12.87675;5.71241;12.92635;38.02123;31.46702;0.00503
1.34000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44186;1.22500;0.00197;2.84844;4.33468;12.83562;5.65251;12.79245;38.14916;31.84851;0.00503
1.35000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44181;1.22500;0.00197;2.86764;4.33412;12.79450;5.59275;12.65883;38.27575;32.23127;0.00503
1.36000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44175;1.22500;0.00197;2.88670;4.33356;12.75337;5.53312;12.52549;38.40100;32.61528;0.00503
1.37000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44169;1.22500;0.00197;2.90562;4.33300;12.71225;5.47363;12.39242;38.52493;33.00053;0.00503
1.38000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44163;1.22500;0.00197;2.92441;4.33244;12.67112;5.41428;12.25964;38.64752;33.38701;0.00503
1.39000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44158;1.22500;0.00197;2.94305;4.33188;12.63000;5.35507;12.12714;38.76879;33.77469;0.00503
1.40000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44152;1.22500;0.00197;2.96155;4.33132;12.58530;5.29244;11.98685;38.88866;34.16358;0.00503
1.41000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44146;1.22500;0.00197;2.97989;4.33076;12.54061;5.22996;11.84687;39.00713;34.55365;0.00503
1.42000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44141;1.22500;0.00197;2.99807;4.33020;12.49591;5.16764;11.70722;39.12420;34.94489;0.00503
1.43000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44135;1.22500;0.00197;3.01610;4.32964;12.45121;5.10548;11.56789;39.23988;35.33729;0.00503
1.44000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44129;1.22500;0.00197;3.03396;4.32908;12.40652;5.04348;11.42889;39.35417;35.73083;0.00503
1.45000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44124;1.22499;0.00197;3.05166;4.32852;12.36182;4.98165;11.29023;39.46707;36.12550;0.00503
1.46000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44118;1.22499;0.00197;3.06919;4.32796;12.31712;4.91997;11.15190;39.57859;36.52129;0.00503
1.47000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44112;1.22499;0.00197;3.08656;4.32740;12.27242;4.85847;11.01391;39.68873;36.91818;0.00503
1.48000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44106;1.22499;0.00197;3.10376;4.32684;12.22773;4.79713;10.87627;39.79749;37.31615;0.00503
1.49000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44101;1.22499;0.00197;3.12080;4.32628;12.18303;4.73596;10.73897;39.90488;37.71520;0.00503
1.50000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44095;1.22499;0.00197;3.13766;4.32572;12.13833;4.67495;10.60201;40.01090;38.11531;0.00503
1.51000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44089;1.22499;0.00197;3.15436;4.32516;12.09364;4.61412;10.46541;40.11556;38.51647;0.00503
